,User-ID,Location,Age
41676,41677,"london, england, united kingdom",25.0
142884,142885,"victoria, british columbia, canada",
164588,164589,"puiflijk, gelderland, netherlands",
74197,74198,"fargo, north dakota, usa",
117625,117626,"valrico, florida, usa",
170353,170354,"london, lazio, united kingdom",18.0
36258,36259,"bishop, california, usa",57.0
205883,205884,"bruxelles, brabant, belgium",45.0
47093,47094,"stamford, new york, usa",38.0
261414,261415,"portugalete, bizkaia, spain",21.0
258467,258468,"elk grove, california, usa",9.0
193686,193687,"chapel hill, north carolina, usa",
48688,48689,"waitara, new south wales, australia",
164314,164315,"barcelona, catalunya, spain",31.0
185258,185259,"rochester, new york, usa",26.0
45665,45666,"georgetown, ontario, canada",31.0
63020,63021,"kaifeng, henan, china",
254674,254675,"köln, n/a, germany",
244846,244847,"clovis, california, usa",57.0
26388,26389,"st. augustine, florida, usa",
49428,49429,"jacksonville, florida, usa",
19950,19951,"milano, lombardia, italy",28.0
258542,258543,"milano, ,",
22626,22627,"lebanon, tennessee, usa",
85626,85627,"westbury, wiltshire, united kingdom",21.0
87348,87349,"new york city, new york, usa",
25810,25811,"henderson, nevada, usa",70.0
249685,249686,"warrandyte, victoria, australia",41.0
72521,72522,"regensburg, bayern, germany",32.0
213910,213911,"somerville, massachusetts, usa",
46533,46534,"chicago, illinois, usa",
55382,55383,"oswego, new york, usa",
151270,151271,"topeka, kansas, usa",58.0
71409,71410,"seattle, washington, usa",3.0
12086,12087,"bremen, bremen, germany",49.0
173568,173569,"malmö, n/a, sweden",34.0
258685,258686,"lagos, nigeria, nigeria",29.0
166388,166389,"lennoxville, quebec, canada",23.0
269362,269363,"jefferson hills, pennsylvania, usa",
68546,68547,"new orleans, louisiana, usa",15.0
35443,35444,"brookline, massachusetts, usa",
183908,183909,"rochester, new york, usa",29.0
107147,107148,"konstanz, baden-wuerttemberg, germany",22.0
214369,214370,"weston, florida, usa",
277600,277601,"east lansing, michigan, usa",
170065,170066,"calgary, alberta, canada",26.0
139923,139924,"petaling jaya, selangor, malaysia",16.0
77188,77189,"bruxelles, n/a, belgium",51.0
23240,23241,"wellington, new zealand, new zealand",41.0
230266,230267,"welwyn garden city, hertfordshire, united kingdom",
151506,151507,"monroe, new york, usa",
67157,67158,"invercargill, southland, new zealand",36.0
8302,8303,"north shore, auckland, new zealand",
230082,230083,"windsor, ontario, canada",33.0
258502,258503,"whangarata, waikato, new zealand",49.0
67110,67111,"mönchengladbach, nordrhein-westfalen, germany",36.0
94137,94138,"west hartford, connecticut, usa",26.0
223811,223812,"wakefield, england, united kingdom",26.0
264630,264631,"ypsilanti, michigan, usa",54.0
108488,108489,"victoria, british columbia, canada",
83143,83144,"euskirchen, nordrhein-westfalen, germany",37.0
266981,266982,"mobile, alabama, usa",
48318,48319,"kitchener, ontario, canada",17.0
179791,179792,"lunas, kedah, malaysia",16.0
121588,121589,"parksville, british columbia, canada",71.0
36474,36475,"london, england, united kingdom",24.0
105005,105006,"málaga, andalucía, spain",29.0
104782,104783,"mandaue, cebu, philippines",24.0
208230,208231,"round rock, texas, usa",36.0
200640,200641,"clinton township, michigan, usa",51.0
203511,203512,"wilmore, kentucky, usa",18.0
201724,201725,"wexford, leinster, ireland",28.0
129606,129607,"burlington, iowa, usa",26.0
248859,248860,"stuttgart, baden-württemberg, germany",
137736,137737,"atlanta, georgia, usa",23.0
278507,278508,"minneapolis, minnesota, usa",44.0
121923,121924,"scottsdale, arizona, usa",
265097,265098,"mississauga, ontario, canada",
108647,108648,"rome, lazio, italy",36.0
142174,142175,"houston, texas, usa",65.0
298,299,"paris, paris, france",42.0
265023,265024,"surat, guajarat, india",
117056,117057,"whitby, ontario, canada",
108524,108525,"wiesbaden, hessen, germany",33.0
118253,118254,"porto, porto, portugal",
175162,175163,"halifax, nova scotia, canada",21.0
233567,233568,"ottawa, ontario, canada",
131162,131163,"durham, north carolina, usa",52.0
133291,133292,"leinfelden-echterdingen, baden-wuerttemberg, germany",32.0
217109,217110,"almada, lisboa, portugal",
195652,195653,"st. peter, minnesota, usa",
264622,264623,"london, n/a, united kingdom",51.0
163613,163614,"mesa, arizona, usa",61.0
244604,244605,"ridgeway, virginia, usa",22.0
168006,168007,"vancouver, british columbia, canada",
106272,106273,"paducah, kentucky, usa",28.0
199537,199538,"ourense, ourense, spain",28.0
238391,238392,"bologna, emilia romagna, italy",24.0
214767,214768,"rotterdam, zh, netherlands",
139904,139905,"knoxville, tennessee, usa",22.0
24159,24160,"nampa, idaho, usa",27.0
15615,15616,"toronto, ontario, canada",
195097,195098,"oamaru, , new zealand",39.0
184725,184726,"bangalore, karnataka, india",
40195,40196,"raleigh, north carolina, usa",40.0
264851,264852,"santa clara, california, usa",
268643,268644,"jacksonville, north carolina, usa",
92658,92659,"burnley, victoria, australia",26.0
270281,270282,"bern, bern, switzerland",33.0
71130,71131,"goulburn, new south wales, australia",53.0
145575,145576,"rosenheim, bayern, germany",29.0
254125,254126,"lynn haven, florida, usa",
46284,46285,"barcelona, barcelona, spain",34.0
142677,142678,"countesthorpe, england, united kingdom",36.0
148661,148662,"taft, california, usa",25.0
84665,84666,"ashland, oregon, usa",
273672,273673,"melbs, victoria, australia",
251241,251242,"delta, british columbia, canada",28.0
212651,212652,"cleveland, ohio, usa",
38340,38341,"tucson, arizona, usa",
12173,12174,"sydney, new south wales, australia",23.0
145007,145008,"auckland, n/a, new zealand",18.0
175855,175856,"macon, georgia, usa",46.0
28627,28628,"anchorage, alaska, usa",47.0
214684,214685,"w. bloomfield, michigan, usa",53.0
27851,27852,"bibbiano reggio emilia, emilia romagna, italy",
37673,37674,"rovigo, veneto, italy",22.0
121006,121007,"halifax, nova scotia, canada",
264058,264059,"st. louis park, minnesota, usa",
91595,91596,"milwaukee, wisconsin, usa",65.0
54874,54875,"lyon, rhône-alpe, france",19.0
126159,126160,"west warwick, rhode island, usa",57.0
253177,253178,"st. peter, minnesota, usa",44.0
212542,212543,"stuttgart, baden-württemberg, germany",
155726,155727,"san clemente, california, usa",
70575,70576,"barcelona, catalunya, spain",25.0
118814,118815,"luziânia, connecticut, brazil",
79090,79091,"venezia, veneto, italy",52.0
128496,128497,"melbourne, victoria, australia",
33552,33553,"florence, south carolina, usa",41.0
83948,83949,"maastricht, limburg, netherlands",
223960,223961,"san jose, california, usa",
171369,171370,"san antonio, texas, usa",41.0
242442,242443,"gold coast, queensland, australia",29.0
237220,237221,"ottawa, ontario, canada",17.0
232066,232067,"oviedo, florida, usa",
187532,187533,"san jose, san jose, costa rica",68.0
194047,194048,"milan, lombardia, italy",31.0
191593,191594,"paderborn, nordrhein-westfalen, germany",24.0
230505,230506,"samora correia, ribatejo, portugal",16.0
260599,260600,"buenos aires, morón, argentina",36.0
45265,45266,"forest park, georgia, usa",
134805,134806,"king, north carolina, usa",29.0
151281,151282,"patriot, indiana, usa",45.0
249856,249857,"montreal, quebec, canada",25.0
232531,232532,"bochum, nordrhein-westfalen, germany",28.0
258184,258185,"livermore, maine, usa",37.0
228540,228541,"new baltimore, michigan, usa",35.0
277116,277117,"kaiserslautern, rheinland-pfalz, germany",
145876,145877,"sevierville, tennessee, usa",54.0
137646,137647,"dunedin, otago, new zealand",
227398,227399,"matawan, new jersey, usa",26.0
200042,200043,"montelupo, toscana, italy",
127042,127043,"piscataway, new jersey, usa",
29753,29754,"huonville, tennessee, australia",
235434,235435,"trana, piemonte, italy",22.0
21822,21823,"malvern east, victoria, australia",
69217,69218,"harbor city, california, usa",21.0
134793,134794,"houston, texas, usa",
143591,143592,"oakland, california, usa",
38973,38974,"modena, emilia romagna, italy",28.0
95713,95714,"lamoni, iowa, usa",55.0
70673,70674,"pristina, kosova, yugoslavia",15.0
241086,241087,"st. paul, minnesota, usa",27.0
250227,250228,"pooler, georgia, usa",22.0
145994,145995,"hicksville, new york, usa",46.0
121012,121013,"columbia, south carolina, usa",
216130,216131,"wasilla, alaska, usa",
168957,168958,"minneapolis, minnesota, usa",40.0
91281,91282,"saint paul, minnesota, usa",36.0
83484,83485,"aberdeen, scotland, united kingdom",31.0
241867,241868,"thames, coromandel, new zealand",
65817,65818,"prairie village, kansas, usa",
211019,211020,"oldenburg, niedersachsen, germany",21.0
52388,52389,"zaragoza, aragon, spain",23.0
202443,202444,"pero, lombardia, italy",
84962,84963,"perth, scotland, united kingdom",42.0
273838,273839,"plainfield, indiana, usa",
52648,52649,"vancouver, british columbia, canada",212.0
5865,5866,"rimersburg, pennsylvania, usa",
95670,95671,"covilhã, covilhã, portugal",
114424,114425,"indianapolis, indiana, usa",
146346,146347,"houston, texas, usa",54.0
223414,223415,"catonsville, maryland, usa",
78225,78226,"tucson, arizona, usa",65.0
198992,198993,"midland, ontario, canada",56.0
158875,158876,"lanham, maryland, usa",
156237,156238,"durham, england, united kingdom",32.0
237555,237556,"kanata, ontario, canada",
160661,160662,"melville, new york, usa",
236497,236498,"kamnik, gorenjska, slovenia",25.0
197497,197498,"calgary, alberta, canada",29.0
215317,215318,"lleida, lleida, spain",27.0
192256,192257,"dalkeith, ontario, canada",
133170,133171,"london, england, united kingdom",
224058,224059,"roma, lazio, italy",41.0
69121,69122,"amherstburg, ontario, canada",
54878,54879,"chester, ,",
242234,242235,"portland, oregon, usa",
207277,207278,"lincoln, california, usa",
223155,223156,"springfield, illinois, usa",31.0
149985,149986,"genova, liguria, italy",
51735,51736,"pittsburgh, pennsylvania, usa",
8160,8161,"san diego, california, usa",
117352,117353,"appleton, wisconsin, usa",
98732,98733,"brandenburg, brandenburg, germany",
65899,65900,"ratingen, nordrhein westfalen, germany",
40303,40304,"cologne, nordrhein-westfalen, germany",26.0
169089,169090,"frederick, maryland, usa",
50215,50216,"wellton, arizona, usa",71.0
257203,257204,"akron, ohio, usa",32.0
104166,104167,"porto alegre, rio grande do sul, brazil",29.0
98303,98304,"raleigh, north carolina, usa",
98282,98283,"hamburg, hamburg, germany",21.0
46601,46602,"krefeld, nordrhein-westfalen, germany",
205836,205837,"cumbria, england, united kingdom",
257406,257407,"rome, lazio, italy",
261556,261557,"tehran, g, iran",22.0
184652,184653,"woody creek, colorado, usa",
270595,270596,"larchmont, new york, usa",
141805,141806,"edmonds, washington, usa",
160201,160202,"lörrach, baden-wuerttemberg, germany",46.0
7092,7093,"indianapolis, indiana, usa",24.0
107954,107955,"madid, madrid, spain",31.0
11616,11617,"lebanon, pennsylvania, usa",
275669,275670,"sunderland, massachusetts, usa",26.0
178894,178895,"aspendale, victoria, australia",30.0
248982,248983,"shelbyville, tennessee, usa",36.0
96386,96387,"hamburg, hamburg, germany",
215449,215450,"marblehead, ohio, usa",47.0
13212,13213,"ourense, galicia, spain",41.0
88878,88879,"san diego, california, usa",45.0
23210,23211,"kalamazoo, michigan, usa",37.0
271398,271399,"st. paul, minnesota, usa",23.0
50691,50692,"seattle, washington, usa",
4058,4059,"portland, ,",
268737,268738,"danbury, wisconsin, usa",74.0
246697,246698,"holzheim, hessen, germany",
129199,129200,"fürth, bayern, germany",20.0
3669,3670,"brookline, massachusetts, usa",
27485,27486,"halifax, nova scotia, canada",32.0
57088,57089,"beaver falls, pennsylvania, usa",25.0
11854,11855,"toronto, ,",
51334,51335,"midlothian, illinois, usa",35.0
95922,95923,"bloomfield, new jersey, usa",17.0
123686,123687,"ambler, pennsylvania, usa",
4709,4710,"coazze, piemonte, italy",43.0
125348,125349,"betchworth, surrey, united kingdom",45.0
21126,21127,"homewood, alabama, usa",20.0
190996,190997,"london, england, united kingdom",
30792,30793,"wappingers falls, new york, usa",
186418,186419,"encinitas, california, usa",
181167,181168,"shanghai, n/a, china",23.0
242452,242453,"carlsbad, california, usa",41.0
141285,141286,"wichita, kansas, usa",
265259,265260,"ljubljana, n/a, slovenia",97.0
277698,277699,"milwaukee, wisconsin, usa",
104163,104164,"youngsville, pennsylvania, usa",
155504,155505,"lahore, punjab, pakistan",24.0
100188,100189,"halifax, nova scotia, canada",
22993,22994,"kelowna, british columbia, canada",
197049,197050,"milano, lombardia, italy",27.0
72475,72476,"woodstock, illinois, usa",14.0
160600,160601,"bucharest, bucharest, romania",32.0
52815,52816,"calgary, alberta, canada",34.0
44975,44976,"kuala lumpur, wilayah persekutuan, malaysia",33.0
142878,142879,"kroatisch geresdorf, burgenland, austria",21.0
229908,229909,"simi valley, california, usa",
162120,162121,"san anselmo, california, usa",31.0
245130,245131,"rector, arkansas, usa",
197871,197872,"sydney, new south wales, australia",17.0
260709,260710,"bilbao, vizcaya, spain",103.0
183274,183275,"bristol, wisconsin, usa",33.0
205760,205761,"toronto, ontario,",
124988,124989,"old orchard beach, maine, usa",46.0
8931,8932,"rio de janeiro, rio de janeiro, brazil",31.0
94070,94071,"toronto, ontario, canada",37.0
46656,46657,"portland, oregon, usa",
3778,3779,"homer, alaska, usa",
119702,119703,"grand rapids, michigan, australia",48.0
242445,242446,"peoria, illinois, usa",57.0
81516,81517,"north richland hills, texas, usa",47.0
115176,115177,"laurel, maryland, usa",
7860,7861,"barcelona, \n/a\"", spain""",
250689,250690,"washington, dc, usa",
173321,173322,"ploiesti, new jersey, romania",
204086,204087,"pittsburgh, pennsylvania, usa",22.0
170685,170686,"zagreb, zagreb, croatia",27.0
77717,77718,"madrid, madrid, spain",34.0
66925,66926,"lisbon, n/a, portugal",
51709,51710,"springfield, massachusetts, usa",51.0
62221,62222,"medan, sumatera utara, indonesia",
41605,41606,"lakewood, ohio, usa",
112687,112688,"tregear, new south wales, australia",48.0
97149,97150,"valladolid, valladolid, spain",25.0
112031,112032,"mumbai, maharashtra, india",
7437,7438,"kamloops, british columbia, canada",16.0
241890,241891,"tishomingo, oklahoma, usa",
274341,274342,"palmerston north, n/a, new zealand",
129681,129682,"northbrook, illinois, usa",43.0
163113,163114,"mendoza, mendoza, argentina",34.0
189804,189805,"ankara, n/a, turkey",
278528,278529,"boulder city, nevada, usa",
13066,13067,"umeå, västerbotten, sweden",23.0
241250,241251,"singapore, n/a, singapore",
204254,204255,"everson, washington, usa",18.0
276274,276275,"new york, new york, usa",
42883,42884,"beijing, beijing, china",31.0
80698,80699,"oakland, california, usa",
177158,177159,"calgary, alberta, canada",43.0
78299,78300,"rego park, new york, usa",33.0
223015,223016,"duncan, british columbia, canada",63.0
44378,44379,"atlanta, georgia, usa",
93586,93587,"whitehouse station, new jersey, usa",66.0
100362,100363,"oxford, england, united kingdom",31.0
143687,143688,"new brighton, minnesota, usa",
228852,228853,"vevey, vaud, switzerland",39.0
245509,245510,"frankfurt, hessen, germany",34.0
33402,33403,"milwaukee, wisconsin, usa",
85585,85586,"wirral, england, united kingdom",30.0
146954,146955,"guayaquil, guayas, ecuador",33.0
266594,266595,"weare, new hampshire, usa",41.0
271167,271168,"ashland, oregon, usa",40.0
89626,89627,"montrose, victoria, australia",35.0
267159,267160,"perryville, maryland, usa",42.0
207982,207983,"fredericton, new brunswick, canada",
65664,65665,"coffs harbour, new south wales, australia",40.0
222170,222171,"pleasanton, california, usa",60.0
142116,142117,"fredericksburg, virginia, usa",
59378,59379,"kennebunkport, maine, usa",
276326,276327,"rome, newfoundland, italy",28.0
84140,84141,"legnaro, , italy",
17797,17798,"burlington, ontario, canada",
34931,34932,"portland, oregon, usa",
74150,74151,"tel aviv, n/a, israel",
234258,234259,"ottawa, kansas, usa",29.0
193046,193047,"manila, n/a, philippines",17.0
224520,224521,"reggio emilia, emilia romagna, italy",56.0
166108,166109,"piacenza, emilia romagna, italy",
139079,139080,"edmonton, alberta, canada",51.0
187250,187251,"duncan, british columbia, canada",
271084,271085,"duluth, georgia, usa",49.0
26179,26180,"rome, rome, italy",
261980,261981,"san antonio, texas, usa",30.0
196735,196736,"bossier city, louisiana, usa",
124303,124304,"cape town, western cape, south africa",43.0
271082,271083,"cary, north carolina, usa",
41447,41448,"north las vegas, nevada, usa",
278124,278125,"tübingen, baden-wuerttemberg, germany",53.0
80044,80045,"tampere, pirkanmaa, finland",36.0
222955,222956,"falkirk, scotland, united kingdom",36.0
64365,64366,"berlin, berlin, germany",
198947,198948,"puerto cortes, cortes, honduras",
177522,177523,"kuwait city, kuwait, kuwait",18.0
233467,233468,"new westminster, british columbia, canada",
78639,78640,"roma, roma, italy",
275242,275243,"geelong, victoria, australia",
55209,55210,"washington, dc, usa",26.0
217681,217682,"perth, western australia, australia",15.0
198677,198678,"san francisco, california, usa",
109280,109281,"alicante, alicante, spain",18.0
273844,273845,"rome, ,",
254593,254594,"gold coast, queensland, australia",29.0
41258,41259,"ronkonkoma, new york, usa",38.0
6848,6849,"newport, wales, united kingdom",
110157,110158,"kelseyville, california, usa",30.0
224956,224957,"n/a, n/a, united kingdom",
129828,129829,"sydney, new south wales, australia",14.0
46786,46787,"glendale, arizona, usa",34.0
68662,68663,"millstadt, illinois, usa",
67252,67253,"centreville, new brunswick, canada",
146381,146382,"concord, california, usa",57.0
108340,108341,"orleans, ontario, canada",
39738,39739,"niterói, rio de janeiro, brazil",25.0
210364,210365,"houston, texas, usa",
90622,90623,"lilydale, victoria, australia",
154675,154676,"boston, massachusetts, usa",29.0
201092,201093,"ames, iowa, usa",
205245,205246,"fort worth, texas, usa",76.0
124178,124179,"newport news, virginia, usa",37.0
80219,80220,"barcelona, catalonia, spain",38.0
64886,64887,"stockholm, upplands väsby, sweden",
202626,202627,"vancouver, british columbia, canada",28.0
266515,266516,"mumbai, maharashtra, india",24.0
196440,196441,"aston, pennsylvania, usa",53.0
142516,142517,"springfield, massachusetts, usa",
32238,32239,"fredericton, new brunswick, canada",
6663,6664,"mataro, barcelona, spain",45.0
255750,255751,"rhondda, wales, united kingdom",37.0
275092,275093,"chatsworth, georgia, usa",35.0
15139,15140,"kouvola, kymenlaakso, finland",
10866,10867,"eckental/ eschenau, bayern, germany",
267432,267433,"stockholm, stockholm, sweden",
10355,10356,"purwokerto, n/a, indonesia",
26443,26444,"caledon east, ontario, canada",21.0
268581,268582,"hamilton, ontario, canada",
257010,257011,"groton, connecticut, usa",23.0
54736,54737,"madrid, madrid, spain",33.0
76541,76542,"bern, bern, switzerland",26.0
199884,199885,"manchester, england, united kingdom",52.0
231267,231268,"saskatoon, saskatchewan, canada",17.0
174216,174217,"kaufering, bayern, germany",
256568,256569,"danville, kentucky, usa",
244117,244118,"neptune, new jersey, usa",34.0
77033,77034,"ashburnham, massachusetts, usa",
86495,86496,"hanover, n/a, germany",21.0
1250,1251,"elgin, south carolina, usa",
41900,41901,"sunapee, new hampshire, usa",44.0
267676,267677,"cinti, oh, land of the free, home of the van!!",
276188,276189,"beaverton, oregon, usa",46.0
100224,100225,"toronto, ontario, canada",17.0
123437,123438,"cookeville, tennessee, usa",40.0
149114,149115,"minneapolis, minnesota, usa",
53022,53023,"invercargill, n/a, new zealand",38.0
166714,166715,"york, n yorkshire, united kingdom",36.0
150666,150667,"san diego, california, usa",
248905,248906,"victoria, british columbia, canada",
106224,106225,"chicago, illinois, usa",38.0
90994,90995,"oakland, california, usa",
83309,83310,"buenos aires, capital federal, argentina",45.0
248498,248499,"brookhaven, pennsylvania, canada",55.0
219892,219893,"baker city, oregon, usa",
24854,24855,"victoria, british columbia, canada",
36319,36320,"shetland, scotland, united kingdom",57.0
31519,31520,"st. louis, missouri, usa",64.0
159214,159215,"santurce, vizcaya, spain",24.0
177672,177673,"richmond, virginia, usa",49.0
151903,151904,"london, england, united kingdom",
244155,244156,"chamblee, georgia, usa",30.0
126112,126113,"london, england, united kingdom",26.0
132576,132577,"mülheim an der ruhr, nordrhein-westfalen, germany",20.0
173229,173230,"mcallen, texas, usa",
143038,143039,"miami beach, florida, usa",46.0
108265,108266,"philomath, oregon, usa",
135735,135736,"los angeles, california, usa",54.0
120656,120657,"san diego, california, usa",17.0
20466,20467,"berkeley vale, new south wales, australia",30.0
120793,120794,"miami, florida, usa",17.0
271671,271672,"mill valley, california, usa",20.0
147281,147282,"linköping, \n/a\"", sweden""",39.0
111197,111198,"n ft myers, florida, usa",
207062,207063,"dresden, sachsen, germany",23.0
229318,229319,"dortmund, nordrhein-westfalen, germany",21.0
68962,68963,"grand haven, michigan, usa",
253775,253776,"hamilton, ontario, canada",25.0
252691,252692,"albuquerque, new mexico, usa",31.0
118359,118360,"vancouver, british columbia, canada",18.0
170922,170923,"heidelberg, baden-wuerttemberg, germany",
53882,53883,"miami, florida, usa",
37841,37842,"san francisco, california, usa",
148781,148782,"nanaimo, british columbia, canada",
150768,150769,"salt lake city, utah, usa",
132939,132940,"denver, colorado, usa",16.0
98386,98387,"skelmersdale, lancashire, united kingdom",27.0
15422,15423,"kennebunkport, maine, usa",73.0
39416,39417,"richmond, texas, usa",34.0
149423,149424,"banska bystrica, n, slovakia",
195538,195539,"bristol, england, united kingdom",62.0
153936,153937,"porto alegre, rio grande do sul, brazil",17.0
44093,44094,"milton keynes, england, united kingdom",
69337,69338,"fort collins, colorado, vietnam",
195620,195621,"kirchheim, bayern, germany",
66078,66079,"sant`angelo di brolo, sicilia, italy",28.0
192239,192240,"munster, indiana, usa",50.0
146852,146853,"berlin, berlin, germany",44.0
232229,232230,"lawton, oklahoma, usa",
232428,232429,"tulsa, oklahoma, usa",
153840,153841,"london, n/a, united kingdom",32.0
121048,121049,"tucson, arizona, usa",47.0
249467,249468,"lisboa, lisboa e vale do tejo, portugal",58.0
43667,43668,"uffenheim, bayern, germany",22.0
73823,73824,"berlin, berlin, germany",26.0
170292,170293,"brithdir, wales, united kingdom",35.0
189317,189318,"south jordan, utah, usa",19.0
50671,50672,"rio de janeiro, rj, brazil",46.0
84507,84508,"toronto, ontario, canada",
12881,12882,"los angeles, california, usa",
234383,234384,"bordighera, italy, italy",
59167,59168,"salsibury, massachusetts, usa",36.0
145442,145443,"brisbane, queensland, australia",19.0
192826,192827,"ft lauderdale, florida, usa",
257006,257007,"wolfsburg, \n/a\"", germany""",26.0
174407,174408,"aberdeen, scotland, united kingdom",26.0
174949,174950,"joliet, illinois, usa",37.0
45316,45317,"póvoa santa iria, lisbon, portugal",43.0
258900,258901,"pordenone, friuli venezia giulia, italy",27.0
1446,1447,"baiona, n/a, spain",31.0
267671,267672,"springfield, hobart, australia",36.0
68931,68932,"grand junction, colorado, usa",25.0
208338,208339,"seattle, washington, usa",
231969,231970,"tulsa, oklahoma, usa",
54744,54745,"milano, lombardia, italy",25.0
271120,271121,"chapel hill, north carolina, usa",
182052,182053,"london, ontario, canada",30.0
118715,118716,"leverkusen, nordrhein-westfalen, germany",
168664,168665,"madrid, n/a, spain",20.0
153145,153146,"w.st. paul, minnesota, usa",52.0
40926,40927,"melbourne, victoria, australia",
224503,224504,"valladolid, castilla y león, spain",18.0
164037,164038,"renningen, baden-wuerttemberg, germany",17.0
240654,240655,"council grove, kansas, usa",
76136,76137,"ormond beach, florida, usa",38.0
187022,187023,"houma, louisiana, usa",61.0
133101,133102,"lubbock, texas, usa",
148107,148108,"greenfield, massachusetts, usa",56.0
142237,142238,"walton, new york, usa",
261605,261606,"seattle, washington, usa",28.0
134471,134472,"gütersloh, nordrhein-westfalen, germany",30.0
256172,256173,"milano, lombardia, italy",
28016,28017,"manchester, england, united kingdom",23.0
94724,94725,"slc, utah, usa",
79576,79577,"mannheim, baden-wuerttemberg, germany",
56378,56379,"los angeles, california, usa",42.0
277809,277810,"pleternica, n/a, croatia",21.0
241176,241177,"middlesbrough, n/a, united kingdom",50.0
236741,236742,"cincinnati, ohio, usa",35.0
123232,123233,"raleigh, north carolina, usa",19.0
222767,222768,"dover, new jersey, usa",
92369,92370,"london, england, united kingdom",33.0
57432,57433,"madrid, madrid, spain",27.0
149893,149894,"chattanooga, tennessee, usa",
80323,80324,"red deer, alberta, canada",24.0
238421,238422,"new plymouth, taranaki, new zealand",
150876,150877,"stuttgart, baden-wuerttemberg, germany",
232174,232175,"santa fe, new mexico, usa",58.0
195483,195484,"burnsville, minnesota, usa",40.0
143096,143097,"tampa, florida, usa",32.0
199555,199556,"eaton, ohio, usa",
198911,198912,"vancouver, british columbia, canada",
198335,198336,"university park, pennsylvania, usa",
179528,179529,"orange, california, usa",
177015,177016,"cville, tennessee, usa",18.0
226858,226859,"syracuse, new york, usa",
113789,113790,"syracuse, new york, usa",53.0
53647,53648,"austin, texas, usa",39.0
276415,276416,"detroit, michigan, usa",
269275,269276,"amarillo, texas, usa",61.0
139142,139143,"clinton, mississippi, usa",34.0
48436,48437,"davenport, ,",
78553,78554,"melbourne, victoria, australia",
51593,51594,"tewksbury, massachusetts, usa",56.0
124247,124248,"tampa, florida, usa",
137259,137260,"brest, finistère, la france",18.0
237745,237746,"berlin, berlin, germany",37.0
41297,41298,"burnaby, british columbia, canada",
132180,132181,"st louis, missouri, usa",
229673,229674,"saskatoon, saskatchewan, canada",57.0
125891,125892,"san antonio, texas, usa",
228653,228654,"qro, n/a, mexico",25.0
127663,127664,"toronto, ontario, canada",
88160,88161,"saint louis, missouri, usa",27.0
205935,205936,"sackville, new brunswick, canada",17.0
252178,252179,"deer park, texas, usa",37.0
113673,113674,"hildebran, north carolina, usa",58.0
175213,175214,"wilmington, delaware, usa",
103792,103793,"kankakee, illinois, usa",44.0
24494,24495,"estes park, colorado, usa",
219325,219326,"lake zurich, illinois, usa",49.0
266104,266105,"berlin, berlin, germany",29.0
87077,87078,"river grove, illinois, usa",44.0
242826,242827,"toronto, ontario, canada",
140566,140567,"granada, granada, spain",40.0
112200,112201,"calgary, alberta, canada",42.0
6124,6125,"boca raton, florida, usa",
148981,148982,"silver spring, maryland, usa",
33789,33790,"austin, texas, usa",24.0
36648,36649,"novara, no, italy",23.0
268420,268421,"newmarket, ontario, canada",
87023,87024,"wagga wagga, new south wales, australia",43.0
272049,272050,"elburg, gelderland, netherlands",43.0
60094,60095,"kingwood, texas, usa",52.0
105344,105345,"barcelona, barcelona, spain",40.0
145570,145571,"brooklyn, new york, usa",0.0
30095,30096,"hoeilaart, hoeilaart, belgium",59.0
26630,26631,"axtell, texas, usa",40.0
39019,39020,"calgary, alberta, canada",
273522,273523,"stockholm, n/a, sweden",55.0
129595,129596,"wonthaggi, victoria, australia",
154141,154142,"lake zurich, illinois, usa",
188201,188202,"valencia, valencia, spain",
197711,197712,"karachi, sindh, pakistan",23.0
567,568,"alexandria, alexandria, egypt",
12411,12412,"n/a, n/a, netherlands",
267180,267181,"lady lake, florida, usa",
48585,48586,"bielefeld, nordrhein-westfalen, germany",47.0
96671,96672,"murray, kentucky, usa",23.0
102732,102733,"seattle, washington, usa",38.0
126245,126246,"rensselaer, indiana, usa",
264454,264455,"nijmegen, gelderland, netherlands",68.0
19753,19754,"manchester, england, united kingdom",43.0
97437,97438,"oamaru, north otago, new zealand",45.0
241449,241450,"dernbach, rheinland-pfalz, germany",
37327,37328,"sindelfingen, baden-wuerttemberg, germany",71.0
67288,67289,"xenia, ohio, usa",
255710,255711,"trieste, friuli venezia giulia, italy",36.0
181239,181240,"houston, texas, usa",43.0
43370,43371,"tamworth, new south wales, australia",19.0
197607,197608,"adelaide, south australia, australia",32.0
179601,179602,"canberra, australian capital territory, australia",74.0
190218,190219,"reading, england, united kingdom",43.0
56416,56417,"bejaia, bejaia, algeria",37.0
211582,211583,"kuala lumpur, selangor, malaysia",
35795,35796,"lubbock, texas, usa",
95420,95421,"columbia heights, minnesota, usa",29.0
74997,74998,"sandstone, minnesota, usa",50.0
252423,252424,"rancho palos verdes, california, usa",
235763,235764,"roseland, new jersey, usa",49.0
16073,16074,"galiano island, british columbia, canada",
259343,259344,"kota kinabalu, sabah, malaysia",23.0
200926,200927,"charleville, saarland, france",21.0
30824,30825,"athens, n/a, greece",32.0
139292,139293,"n/a, finland, finland",19.0
735,736,"trebur, hessen, germany",34.0
232600,232601,"toronto, ontario, canada",27.0
127789,127790,"prince albert, saskatchewan, canada",22.0
273637,273638,"apple valley, minnesota, usa",15.0
